loaddate,uniqueid,workorder,length,width,color,description
1/18/2024,10264826,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264825,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264824,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264823,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264822,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264821,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264820,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264819,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264818,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264817,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264816,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264815,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264814,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264813,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264812,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264811,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264806,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264805,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264804,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264803,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264802,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264801,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264810,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264809,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264808,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264807,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264842,25512276,107.875,18,TW ,0900X18 25P RR PAN TW F       
1/18/2024,10264841,25512276,107.875,18,TW ,0900X18 25P RR PAN TW F       
1/18/2024,10264840,25512276,107.875,18,TW ,0900X18 25P RR PAN TW F       
1/18/2024,10264839,25512276,107.875,18,TW ,0900X18 25P RR PAN TW F       
1/18/2024,10264838,25512276,107.875,18,TW ,0900X18 25P RR PAN TW F       
1/18/2024,10264837,25512276,107.875,18,TW ,0900X18 25P RR PAN TW F       
1/18/2024,10264836,25512276,107.875,18,TW ,0900X18 25P RR PAN TW F       
1/18/2024,10264835,25512276,107.875,18,TW ,0900X18 25P RR PAN TW F       
1/18/2024,10264834,25512276,107.875,18,TW ,0900X18 25P RR PAN TW F       
1/18/2024,10264848,25512280,119.875,18,TW ,1000X18 25P RR PAN TW F       
1/18/2024,10264847,25512280,119.875,18,TW ,1000X18 25P RR PAN TW F       
1/18/2024,10264846,25512280,119.875,18,TW ,1000X18 25P RR PAN TW F       
1/18/2024,10264845,25512280,119.875,18,TW ,1000X18 25P RR PAN TW F       
1/18/2024,10264844,25512280,119.875,18,TW ,1000X18 25P RR PAN TW F       
1/18/2024,10264843,25512280,119.875,18,TW ,1000X18 25P RR PAN TW F       
1/18/2024,10264851,25512220,143.875,18,TW ,1200X18 25P RR PAN TW F       
1/18/2024,10264850,25512220,143.875,18,TW ,1200X18 25P RR PAN TW F       
1/18/2024,10264849,25512220,143.875,18,TW ,1200X18 25P RR PAN TW F       
1/18/2024,10264852,25512257,191.875,21,ST ,1600X21 25P RR PAN ST SL      
1/18/2024,10264853,25512257,191.875,21,ST ,1600X21 25P RR PAN ST SL      
